Id,Level,Topic,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType
BB258,26,Problem Solving,You see trash on the floor in your classroom. What should you do?,Pick it up and throw in dustbin,Step on it,Throw more trash,Leave it there,Pick it up and throw in dustbin,MCQ
BB259,26,Problem Solving,You are feeling sick in school. What should you do?,Inform the teacher,Never tell anyone,Sleep in class,Ignore it,Inform the teacher,MCQ
BB260,26,Problem Solving,You find a sharp object on the road. What should you do?,Ignore it,Play with it,Touch it carefully,Pick and throw safely or inform an adult,Pick and throw safely or inform an adult,MCQ
BB261,27,Problem Solving,Your friend is sad. What should you do?,Comfort and talk to them,Laugh at them,Ignor them,Take their things,Comfort and talk to them,MCQ
BB262,27,Problem Solving,You see someone stealing in a shop. What should you do?,Tell a responsible adult,Shout loudly and help catch them,Join them,Ignore and leave,Tell a responsible adult,MCQ
BB263,27,Problem Solving,You are late for school. What should you do?,Run on the road carelessly,Lie and go home,Skip school,Run safely and inform teacher,Run safely and inform teacher,MCQ
BB264,27,Problem Solving,You drop juice on the floor. What should you do?,Spread it more,Play in it,Leave it,Clean it or inform someone,Clean it or inform someone,MCQ
BB265,27,Problem Solving,Your pencil breaks during class. What should you do?,Ask for help politely,Get angry and leave,Throw books,Shout loudly,Ask for help politely,MCQ
BB266,27,Problem Solving,You see rain starting while outside. What should you do?,Stay in open area,Run under safe shelter,Play in rain during storm,Ignore it,Run under safe shelter,MCQ
BB267,27,Problem Solving,You forgot to bring lunch. What should you do?,Inform teacher or share politely,Stay hungry and cry,Take food from strangers,Leave school,Inform teacher or share politely,MCQ
BB268,27,Problem Solving,You see electricity wire on the ground. What should you do?,Pull it,Stay away and inform an adult,Play near it,Touch it,Stay away and inform an adult,MCQ
BB269,27,Problem Solving,Your friend is being bullied. What should you do?,Laugh at them,Help and inform teacher,Ignore completely,Join bullying,Help and inform teacher,MCQ
BB270,27,Problem Solving,You accidentally break a glass at home. What should you do?,Blame someone else,Tell an adult honestly,Hide it,Play with pieces,Tell an adult honestly,MCQ
BB271,28,Problem Solving,You see smoke in a building. What should you do?,Stay and watch,Go inside,Play near it,Run out and inform adults,Run out and inform adults,MCQ
BB272,28,Problem Solving,You find money on school ground. What should you do?,Inform teacher or return it,Spend it immediately,Keep it,Hide it,Inform teacher or return it,MCQ
BB273,28,Problem Solving,You see a child lost in a market. What should you do?,Take them home alone,Help find their parents or inform authority,Ignore them,Walk away,Help find their parents or inform authority,MCQ
BB274,28,Problem Solving,You are asked to lie by a friend. What should you do?,Ignore rules,Lie immediately,Follow blindly,Refuse politely and tell truth,Refuse politely and tell truth,MCQ
BB275,28,Problem Solving,You spill water on floor at home. What should you do?,Inform and clean it,Make it slippery,Leave it,Ignore it,Inform and clean it,MCQ
BB276,28,Problem Solving,You see a dog acting aggressive. What should you do?,Run toward it,Shout and provoke it,Touch it,Stay calm and move away slowly,Stay calm and move away slowly,MCQ
BB277,28,Problem Solving,You see someone injured on the road. What should you do?,Take their belongings,Help and call an adult or emergency service,Ignore and walk away,Move them without care,Help and call an adult or emergency service,MCQ
BB278,28,Problem Solving,Your mobile phone falls in water. What should you do?,Turn it on immediately,Charge it quickly,Dry it safely and inform an adult,Shake it hard,Dry it safely and inform an adult,MCQ
BB279,28,Problem Solving,You are playing and break a window. What should you do?,Blame someone else,Tell the truth to an adult,Run away,Hide it,Tell the truth to an adult,MCQ
BB280,28,Problem Solving,You see a fire in a kitchen. What should you do?,Play near it,Ignor it,Touch it carefully,Use water or alert an adult,Use water or alert an adult,MCQ
BB281,29,Problem Solving,You lost your school bag. What should you do?,Inform teacher and retrace steps,Panic and cry,Blame a friend,Buy a new one immediately,Inform teacher and retrace steps,MCQ
BB282,29,Problem Solving,Someone offers you unknown food on the street. What should you do?,Take it secretly,Share with friends,Refuse politely and inform an adult,Eat immediately,Refuse politely and inform an adult,MCQ
BB283,29,Problem Solving,You see a stranger following you. What should you do?,Run into a crowded place,Go with them,Ignore and continue walking,Talk normally,Run into a crowded place,MCQ
BB284,29,Problem Solving,You are online and see a suspicious message. What should you do?,Ignore and inform an adult,Reply immediately,Share personal info,Block and forget,Ignore and inform an adult,MCQ
BB285,29,Problem Solving,You forget to bring money to school canteen. What should you do?,Inform teacher or friend politely,Skip school,Take without paying,Steal food,Inform teacher or friend politely,MCQ
BB286,29,Problem Solving,You see a snake on the road. What should you do?,Run away calmly and inform adults,Touch it slowly,Throw stones,Play near it,Run away calmly and inform adults,MCQ
BB287,29,Problem Solving,Your friend is cheating in a game. What should you do?,Tell them to play fairly,Laugh at them,Join them,Ignore and cheat too,Tell them to play fairly,MCQ
BB288,29,Problem Solving,You feel very angry. What should you do?,Calm down and talk,Break things,Hit someone,Scream loudly,Calm down and talk,MCQ
BB289,29,Problem Solving,You see broken glass on the floor. What should you do?,Play with it,Step on it carefully,Inform an adult and stay away,Pick it with bare hands,Inform an adult and stay away,MCQ
BB290,29,Problem Solving,You find a sick bird. What should you do?,Play with it,Ignore it,Take it home without care,Inform an adult or animal rescue,Inform an adult or animal rescue,MCQ
BB291,30,Problem Solving,You forgot to study for a test. What should you do?,Run away,Skip exam,Do your best honestly,Cheat in exam,Do your best honestly,MCQ
BB292,30,Problem Solving,"You see a door marked ""Do Not Enter"". What should you do?",Enter anyway,Ignore and enter,Respect the sign and stay out,Break the door,Respect the sign and stay out,MCQ
BB293,30,Problem Solving,You are asked to keep a dangerous secret. What should you do?,Refuse and tell a trusted adult,Follow blindly,Keep it always,Forget it,Refuse and tell a trusted adult,MCQ
BB294,30,Problem Solving,You are stuck in a lift. What should you do?,Run inside,Try to force doors,Panic and jump,Press alarm and wait calmly,Press alarm and wait calmly,MCQ
BB295,30,Problem Solving,You see someone littering in public. What should you do?,Join them,Ignore it,Throw more trash,Encourage clean behavior,Encourage clean behavior,MCQ
BB296,30,Problem Solving,You are lost in a market. What should you do?,Cry alone,Walk away randomly,Ask a shopkeeper or police for help,Hide somewhere,Ask a shopkeeper or police for help,MCQ
BB297,30,Problem Solving,You see medicine at home. What should you do?,Take it without asking,Ask an adult before using it,Share with friends,Taste it,Ask an adult before using it,MCQ
BB298,30,Problem Solving,You hear a loud alarm in school. What should you do?,Ignore it,Follow teacher instructions,Continue playing,Run outside alone,Follow teacher instructions,MCQ
BB299,30,Problem Solving,You see someone faint in class. What should you do?,Move them alone,Inform teacher immediately,Laugh at them,Ignore them,Inform teacher immediately,MCQ
BB300,30,Problem Solving,You accidentally hurt a friend. What should you do?,Run away,Say sorry and help them,Blame them,Laugh at them,Say sorry and help them,MCQ
BB301,31,Problem Solving,You find a broken electrical device. What should you do?,Play with it,Plug it in,Touch and fix it,Tell an adult and stay away,Tell an adult and stay away,MCQ
BB302,31,Problem Solving,You see a child drowning in shallow water. What should you do?,Record a video,Ignore it,Call for help immediately and find an adult,Jump in without thinking,Call for help immediately and find an adult,MCQ
BB303,31,Problem Solving,You find a hot boiling pot on the stove. What should you do?,Touch it quickly,Pour cold water immediately,Turn it off without help,Stay away and inform an adult,Stay away and inform an adult,MCQ
BB304,31,Problem Solving,Your friend wants you to skip school. What should you do?,Stop studying,Follow secretly,Agree immediately,Refuse and inform a teacher or parent,Refuse and inform a teacher or parent,MCQ
BB305,31,Problem Solving,You see a road accident. What should you do?,Ignore and continue walking,Take pictures only,Call emergency help and inform adults,Run into traffic,Call emergency help and inform adults,MCQ
BB306,31,Problem Solving,You are offered money by a stranger to go with them. What should you do?,Accept it,Refuse and move to a safe place,Follow them quietly,Take money and go,Refuse and move to a safe place,MCQ
BB307,31,Problem Solving,You see someone faint in a crowded place. What should you do?,Step over them,Ask for help and call an adult,Ignore them,Shake them aggressively,Ask for help and call an adult,MCQ
BB308,31,Problem Solving,You find a sharp knife on the floor. What should you do?,Pick it carefully and give to an adult,Throw it randomly,Ignore it,Play with it,Pick it carefully and give to an adult,MCQ
BB309,31,Problem Solving,You are stuck in heavy rain without shelter. What should you do?,Play in rainwater,Stand in open field,Run to a safe building or shelter,Keep walking slowly,Run to a safe building or shelter,MCQ
BB310,31,Problem Solving,Your friend is spreading a rumor about you. What should you do?,Gossip more,Ignore completely always,Calmly talk and inform a teacher,Start a fight,Calmly talk and inform a teacher,MCQ
BB311,32,Problem Solving,You see a chemical spill in lab. What should you do?,Touch it carefully,Run away and inform teacher immediately,Clean it yourself,Taste it,Run away and inform teacher immediately,MCQ
BB312,32,Problem Solving,You feel lost in a new city. What should you do?,Ask a trusted person or police for help,Follow strangers,Walk randomly,Sit alone and cry,Ask a trusted person or police for help,MCQ
BB313,32,Problem Solving,You find a broken glass bottle in playground. What should you do?,Throw it at friends,Pick it safely or inform teacher,Play with it,Step on it,Pick it safely or inform teacher,MCQ
BB314,32,Problem Solving,Your computer shows a warning pop-up. What should you do?,Download unknown files,Close it and inform an adult,Click everything,Ignore and continue,Close it and inform an adult,MCQ
BB315,32,Problem Solving,You see a fire alarm ringing. What should you do?,Turn it off yourself,Play near alarm,Follow evacuation instructions,Ignore it and stay inside,Follow evacuation instructions,MCQ
BB316,32,Problem Solving,You accidentally hurt your sibling. What should you do?,Blame them,Run away,Laugh at them,Apologize and help them,Apologize and help them,MCQ
BB317,32,Problem Solving,You are given wrong change in shop. What should you do?,Take more money,Keep extra money,Tell the shopkeeper honestly,Run away,Tell the shopkeeper honestly,MCQ
BB318,32,Problem Solving,You find a dangerous insect at home. What should you do?,Play with it,Ignore it,Inform an adult,Touch it carefully,Inform an adult,MCQ
BB319,32,Problem Solving,You see someone cheating in an exam. What should you do?,Tell teacher quietly,Join them,Ignore and copy,Help them cheat,Tell teacher quietly,MCQ
BB320,32,Problem Solving,You are unsure about crossing a busy road. What should you do?,Run quickly alone,Close eyes and cross,Wait for safe signal or adult help,Cross while running,Wait for safe signal or adult help,MCQ
BB321,33,Problem Solving,You see a dog injured on road. What should you do?,Take it home without help,Inform an adult or animal rescue,Ignore it,Throw stones,Inform an adult or animal rescue,MCQ
BB322,33,Problem Solving,You are feeling very sleepy in class. What should you do?,Sleep on desk,Run away,Stop listening,Tell teacher politely and stay attentive,Tell teacher politely and stay attentive,MCQ
BB323,33,Problem Solving,You see a broken chair in classroom. What should you do?,Sit on it carefully,Take it home,Inform teacher to fix it,Break it more,Inform teacher to fix it,MCQ
BB324,33,Problem Solving,You see smoke coming from an electrical socket. What should you do?,Turn off power and inform adult,Touch it,Ignore it,Pour water immediately,Turn off power and inform adult,MCQ
BB325,33,Problem Solving,You are in a crowded place and lost your parents. What should you do?,Go to security or police for help,Run away further,Cry and hide,Follow strangers,Go to security or police for help,MCQ
BB326,33,Problem Solving,You spill water on the classroom floor. What should you do?,Leave it,Inform teacher,Run away,Ignore it,Inform teacher,MCQ
BB327,33,Problem Solving,You see a friend being bullied. What should you do?,Join the bully,Stay silent,Inform teacher/adult,Laugh,Inform teacher/adult,MCQ
BB328,33,Problem Solving,You find a wallet on the playground. What should you do?,Keep it,Throw it,Give it to teacher,Hide it,Give it to teacher,MCQ
BB329,33,Problem Solving,You forgot your homework at home. What should you do?,Lie to teacher,Copy from friend,Tell teacher honestly,Ignore it,Tell teacher honestly,MCQ
BB330,33,Problem Solving,You see broken glass in the corridor. What should you do?,Step on it,Inform teacher/staff,Kick it away,Ignore it,Inform teacher/staff,MCQ
BB331,34,What Would Happen,What would happen if there were no sun?,Plants would grow faster,Rivers would boil,Day and night would stop existing everywhere instantly,It would be dark and cold,It would be dark and cold,MCQ
BB332,34,What Would Happen,What would happen if humans could not sleep?,People would become stronger,The body and brain would become tired and unhealthy,Humans would never feel hunger,They would gain more energy permanently,The body and brain would become tired and unhealthy,MCQ
BB333,34,What Would Happen,What would happen if plants had no leaves?,They would turn into animals,They would grow faster,They could not make enough food,They would make more food,They could not make enough food,MCQ
BB334,34,What Would Happen,What would happen if there was no gravity?,Everything would float away,Water would freeze instantly,People would walk faster,Day would become longer,Everything would float away,MCQ
BB335,34,What Would Happen,What would happen if there were no bees?,Food would become tastier,Crop pollination would decrease,More fruits would grow,Trees would stop needing water,Crop pollination would decrease,MCQ
BB336,34,What Would Happen,What would happen if we never had rain?,Water sources would dry up quickly,More plants would grow automatically,Floods would increase,Seas would become fresh instantly,Water sources would dry up quickly,MCQ
BB337,34,What Would Happen,What would happen if humans never brushed their teeth?,People would not need food,Teeth would decay and cause problems,Teeth would become cleaner,Teeth would grow stronger,Teeth would decay and cause problems,MCQ
BB338,34,What Would Happen,What would happen if there were no schools?,People would have less structured education,Learning would stop completely everywhere,Everyone would learn faster,All children would become doctors immediately,People would have less structured education,MCQ
BB339,34,What Would Happen,What would happen if all animals became extinct?,Ecosystem balance would improve,Weather would become stable permanently,Plants would stop growing forever,Food chains would be disrupted,Food chains would be disrupted,MCQ
BB340,34,What Would Happen,What would happen if the Earth stopped rotating?,Day and night cycle would stop,Seasons would become same everywhere,Time zones would disappear completely instantly,People would not age,Day and night cycle would stop,MCQ
BB341,35,What Would Happen,What would happen if we could not hear sound?,Eyes would become stronger instantly,Communication through sound would not work properly,Music would become louder,People would fly,Communication through sound would not work properly,MCQ
BB342,35,What Would Happen,What would happen if plants produced no oxygen?,Water would become oxygen,Humans and animals would struggle to breathe,Air quality would improve,More forests would grow faster,Humans and animals would struggle to breathe,MCQ
BB343,35,What Would Happen,What would happen if fire had no heat?,Fire would not be useful for warmth or cooking,It would still cook food normally,Ice would melt instantly,Everything would burn faster,Fire would not be useful for warmth or cooking,MCQ
BB344,35,What Would Happen,What would happen if humans had no bones?,People would run faster,Bones would become flexible tools,They would be stronger,Bodies would not have proper structure,Bodies would not have proper structure,MCQ
BB345,35,What Would Happen,What would happen if there were no insects?,All animals would become stronger,Some ecosystems would become unbalanced,Weather would stop changing,Plants would pollinate faster,Some ecosystems would become unbalanced,MCQ
BB346,35,What Would Happen,What would happen if we never ate food?,Bodies would grow stronger,Humans would not survive,Humans would have more energy,longer lifespan automatically,Humans would not survive,MCQ
BB347,35,What Would Happen,What would happen if there were no oceans?,Rivers would become endless,Rain would increase,Fish would grow on land,Water cycle would be disrupted,Water cycle would be disrupted,MCQ
BB348,35,What Would Happen,What would happen if magnets stopped working?,Metal objects would float,All electricity would stop instantly,Gravity would increase,Some devices would not function properly,Some devices would not function properly,MCQ
BB349,35,What Would Happen,What would happen if humans could not feel pain?,They would become immortal,They would be safer,They would never get sick,They might get injured without noticing,They might get injured without noticing,MCQ
BB350,35,What Would Happen,What would happen if there were no clouds?,Rivers would disappear instantly,Water cycle would be affected,It would always rain,Everything would freeze,Water cycle would be affected,MCQ
BB351,36,What Would Happen,What would happen if all roads disappeared?,Cars would fly automatically,Travel would become easier,Houses would move closer,Transportation would become very difficult,Transportation would become very difficult,MCQ
BB352,36,What Would Happen,What would happen if the sun was much hotter?,Seasons would disappear,Water would turn into metal,Nothing would change,Many places could become too hot to live,Many places could become too hot to live,MCQ
BB353,36,What Would Happen,What would happen if there were no languages?,People would not understand each other,Learning would become faster,Humans would not need memory,Communication would be easier,People would not understand each other,MCQ
BB354,36,What Would Happen,What would happen if trees stopped growing?,Rain would increase automatically,Animals would become plants,Environmental balance would be affected,Forests would expand,Environmental balance would be affected,MCQ
BB355,36,What Would Happen,What would happen if all ice on Earth melted?,Sea levels would rise,Weather would never change,All oceans would disappear,Plants would stop needing water,Sea levels would rise,MCQ
BB356,36,What Would Happen,What would happen if people stopped recycling?,Nature would become cleaner,Resources would increase automatically,All garbage would disappear,Waste would increase,Waste would increase,MCQ
BB357,36,What Would Happen,What would happen if there were no electricity?,People would not need energy,Many machines and devices would stop working,Cars would fly,Everything would become faster,Many machines and devices would stop working,MCQ
BB358,36,What Would Happen,What would happen if all trees were cut down?,New forests would grow instantly,Air quality would become worse,Animals would need less food,More oxygen would be produced,Air quality would become worse,MCQ
BB359,36,What Would Happen,What would happen if humans could breathe underwater?,They could explore oceans more easily,They would stop needing food,Oceans would disappear,Fish would live on land,They could explore oceans more easily,MCQ
BB360,36,What Would Happen,What would happen if the Moon disappeared?,Tides would be affected,Stars would vanish,Earth would stop existing immediately,The sun would disappear,Tides would be affected,MCQ
BB361,37,What Would Happen,What would happen if everyone planted more trees?,Water would stop flowing,Animals would disappear,Air quality could improve,Pollution would increase,Air quality could improve,MCQ
BB362,37,What Would Happen,What would happen if people wasted too much water?,Rivers would become larger,Plants would not need water,More clean water would appear,Water resources could decrease,Water resources could decrease,MCQ
BB363,37,What Would Happen,What would happen if all computers stopped working?,Many digital tasks would be affected,Books would disappear,People would stop sleeping,Food production would end completely,Many digital tasks would be affected,MCQ
BB364,37,What Would Happen,What would happen if there were no farmers?,More food would grow automatically,Rivers would dry instantly,Animals would become farmers,Food production would be affected,Food production would be affected,MCQ
BB365,37,What Would Happen,What would happen if humans never exercised?,People would become stronger instantly,People would never get tired,Muscles would disappear completely,The body could become weaker,The body could become weaker,MCQ
BB366,37,What Would Happen,What would happen if all rivers dried up?,Rain would stop forever everywhere,Water supply would be affected,More fish would appear,Plants would grow faster,Water supply would be affected,MCQ
BB367,37,What Would Happen,What would happen if the Earth had no atmosphere?,People could breathe better,Life would not survive easily,Birds would fly higher,Weather would become normal,Life would not survive easily,MCQ
BB368,37,What Would Happen,What would happen if everyone threw garbage anywhere?,Recycling would increase,The environment would become polluted,Animals would be safer,Streets would become cleaner,The environment would become polluted,MCQ
BB369,37,What Would Happen,What would happen if all animals could talk?,Communication with animals would be possible,Humans would stop talking,Animals would disappear,Plants would stop growing,Communication with animals would be possible,MCQ
BB370,37,What Would Happen,What would happen if humans never used cars?,Roads would disappear instantly,Fuel would become unlimited,Pollution would always increase,Transportation methods would change,Transportation methods would change,MCQ
BB371,38,What Would Happen,What would happen if all plants became extinct?,Food chains would be damaged,More oxygen would be created,Deserts would become forests,Animals would need less food,Food chains would be damaged,MCQ
BB372,38,What Would Happen,What would happen if there was no wind?,Trees would grow instantly,Weather patterns could change,Rain would stop forever,People could fly easily,Weather patterns could change,MCQ
BB373,38,What Would Happen,What would happen if humans lived without rules?,Society could become unsafe,There would be no problems,People would become stronger,Everyone would always agree,Society could become unsafe,MCQ
BB374,38,What Would Happen,What would happen if all mountains disappeared?,Rivers would stop instantly,Animals would become humans,More mountains would appear,Land and climate patterns would change,Land and climate patterns would change,MCQ
BB375,38,What Would Happen,What would happen if every person saved electricity?,Power would disappear forever,Devices would stop working,Energy would be conserved,More pollution would happen,Energy would be conserved,MCQ
BB376,38,What Would Happen,What would happen if humans could not communicate?,Sharing ideas would become difficult,People would learn faster,Schools would not be needed,Everyone would understand each other,Sharing ideas would become difficult,MCQ
BB377,38,What Would Happen,What would happen if there were no hospitals?,People would never get injured,Treating serious illnesses would become harder,Doctors would disappear from history,Everyone would stay healthy automatically,Treating serious illnesses would become harder,MCQ
BB378,38,What Would Happen,What would happen if all water became salty?,Drinking water would become limited,Plants would grow faster,Animals would not need water,Oceans would disappear,Drinking water would become limited,MCQ
BB379,38,What Would Happen,What would happen if humans discovered a new planet?,Earth would disappear instantly,The sun would stop shining,All animals would leave Earth,Scientists would study and explore it,Scientists would study and explore it,MCQ
BB380,38,What Would Happen,What would happen if everyone washed their hands regularly?,Water would disappear,People would never need food,Germs could spread less easily,People would stop getting older,Germs could spread less easily,MCQ
BB381,39,What Would Happen,What would happen if there were no sunlight for plants?,Flowers would become bigger instantly,Plants would grow faster,Plants would struggle to make food,Trees would move around,Plants would struggle to make food,MCQ
BB382,39,What Would Happen,What would happen if all birds lost their ability to fly?,They would stop eating,They would need to adapt to survive,They would disappear immediately,They would become fish,They would need to adapt to survive,MCQ
BB383,39,What Would Happen,What would happen if people never learned new things?,Schools would become unnecessary,Knowledge and skills would not improve,Everyone would become smarter,Technology would grow faster,Knowledge and skills would not improve,MCQ
BB384,39,What Would Happen,What would happen if there were no seasons?,Plants would stop needing water,The Earth would stop rotating,Weather patterns and farming could change,Animals would become extinct instantly,Weather patterns and farming could change,MCQ
BB385,39,What Would Happen,What would happen if all cars used clean energy?,Fuel would disappear instantly,Air pollution could reduce,Roads would stop existing,Cars would become slower,Air pollution could reduce,MCQ
BB386,39,What Would Happen,What would happen if people cut down too many forests?,Air would become cleaner automatically,More forests would grow,Animals would lose habitats,Rain would increase everywhere,Animals would lose habitats,MCQ
BB387,39,What Would Happen,What would happen if gravity became weaker?,Objects would feel lighter,The sun would disappear,Water would turn into fire,People would become stronger,Objects would feel lighter,MCQ
BB388,39,What Would Happen,What would happen if humans never used books?,All languages would disappear instantly,People would become invisible,Computers would stop working,Learning from written information would decrease,Learning from written information would decrease,MCQ
BB389,39,What Would Happen,What would happen if all insects disappeared?,Many food chains would be affected,Oceans would dry up,Plants would never need sunlight,Animals would grow faster,Many food chains would be affected,MCQ
BB390,39,What Would Happen,What would happen if people ignored traffic rules?,Accidents could increase,Traffic would disappear,Cars would stop moving,Roads would become safer,Accidents could increase,MCQ
BB391,40,What Would Happen,What would happen if humans had unlimited clean energy?,Nature would disappear instantly,People would stop learning,The Earth would stop rotating,Energy problems could reduce,Energy problems could reduce,MCQ
BB392,40,What Would Happen,What would happen if all food became unhealthy?,Everyone would live longer,People would become stronger,Doctors would not be needed,Health problems could increase,Health problems could increase,MCQ
BB393,40,What Would Happen,What would happen if there were no oceans?,All animals would fly,The Earth would become smaller,Many weather systems would change,Rivers would increase automatically,Many weather systems would change,MCQ
BB394,40,What Would Happen,What would happen if people saved more water?,Rivers would disappear,Plants would stop growing,There would be more pollution,Water resources could last longer,Water resources could last longer,MCQ
BB395,40,What Would Happen,What would happen if the Earth was closer to the Sun?,The temperature could become much higher,Plants would need no water,The Moon would disappear,There would be no gravity,The temperature could become much higher,MCQ
BB396,40,What Would Happen,What would happen if humans could not see colors?,Everything would become brighter,People would stop walking,People would not hear sounds,Recognizing colors would become difficult,Recognizing colors would become difficult,MCQ
BB397,40,What Would Happen,What would happen if there were no computers in hospitals?,Patients would never get sick,Medicine would stop existing,Doctors would disappear,Some medical work could become harder,Some medical work could become harder,MCQ
BB398,40,What Would Happen,What would happen if all people planted one tree?,All forests would disappear,More greenery could be created,Animals would have no homes,Air would become polluted,More greenery could be created,MCQ
BB399,40,What Would Happen,What would happen if there was no oxygen in air?,Humans and animals could not survive,Water would disappear,Plants would grow faster,Fire would burn more,Humans and animals could not survive,MCQ
BB400,40,What Would Happen,What would happen if humans stopped using plastic?,All oceans would disappear,Factories would stop forever,Animals would stop eating,Plastic pollution could reduce,Plastic pollution could reduce,MCQ
BB401,41,What Would Happen,What would happen if the Moon became larger?,Earth would stop moving,The Sun would disappear,Effects on tides could change,Plants would stop growing,Effects on tides could change,MCQ
BB402,41,What Would Happen,What would happen if everyone helped each other?,Problems would increase,Communities could become stronger,People would stop learning,Nature would disappear,Communities could become stronger,MCQ
BB403,41,What Would Happen,What would happen if humans explored space more?,Gravity would disappear,We could learn more about the universe,Stars would stop shining,The Earth would vanish,We could learn more about the universe,MCQ
BB404,41,What Would Happen,What would happen if animals had no homes in nature?,They would live without habitats,They would stop needing food,They would all become pets,Their survival would become difficult,Their survival would become difficult,MCQ
BB405,41,Ethical Decisions,Your friend forgot his pencil. What should you do?,Ignore him,Hide your pencil,Laugh at him,Help him if possible,Help him if possible,MCQ
BB406,41,What Would Happen,What would happen if there were no rain?,Rivers would dry,Oceans would vanish,People would stop talking,Stars would disappear,Rivers would dry,MCQ
BB407,41,What Would Happen,What would happen if plants stopped making oxygen?,Animals would survive,Humans could not breathe,The Sun would vanish,Water would stop flowing,Humans could not breathe,MCQ
BB408,41,What Would Happen,What would happen if everyone recycled waste?,Pollution would decrease,Trees would vanish,People would stop eating,Rivers would dry,Pollution would decrease,MCQ
BB409,41,What Would Happen,What would happen if there were no Sun?,Days would be longer,Earth would be dark and cold,Stars would vanish,Oceans would dry,Earth would be dark and cold,MCQ
BB410,41,What Would Happen,What would happen if there were no schools?,Children would stop learning,Teachers would vanish,Books would disappear,Nature would stop growing,Children would stop learning,MCQ
BB411,42,Ethical Decisions,You see a classmate drop his lunch. What should you do?,Laugh at him,Share your food,Ignore him,Hide his lunch,Share your food,MCQ
BB412,42,Ethical Decisions,Your neighbor is sick. What should you do?,Make noise,Offer help,Ignore them,Take their things,Offer help,MCQ
BB413,42,Ethical Decisions,Your friend is new in school. What should you do?,Ignore them,Welcome and help them,Hide their books,Bother them,Welcome and help them,MCQ
BB414,42,Ethical Decisions,You see someone dropping their books. What should you do?,Step on the books,Help pick them up,Laugh at them,Walk away,Help pick them up,MCQ
BB415,42,Ethical Decisions,Your friend is feeling sad. What should you do?,Ask what is wrong and support them,Make fun of them,Tell others about it,Ignore them,Ask what is wrong and support them,MCQ
BB416,42,Ethical Decisions,Someone gives you a gift. What should you do?,Say thank you,Throw it away,Ignore the person,Ask for more immediately,Say thank you,MCQ
BB417,42,Ethical Decisions,You see a classmate struggling with homework. What should you do?,Laugh at them,Do their homework without asking,Ignore them,Help or explain politely,Help or explain politely,MCQ
BB418,42,Ethical Decisions,Your friend wins a competition. What should you do?,Feel angry,Congratulate them,Try to spoil their success,Ignore them,Congratulate them,MCQ
BB419,42,Ethical Decisions,You make a mistake and hurt someone. What should you do?,Ignore it,Blame them,Say sorry and correct it,Run away,Say sorry and correct it,MCQ
BB420,42,Ethical Decisions,You borrow a book from a friend. What should you do?,Keep it forever,Damage it,Lose it,Return it on time,Return it on time,MCQ
BB421,43,Ethical Decisions,Your friend shares a secret with you. What should you do?,Make jokes about it,Tell everyone,Post it online,Respect their privacy,Respect their privacy,MCQ
BB422,43,Ethical Decisions,You see someone being bullied. What should you do?,Help and inform an adult,Laugh at them,Join the bullying,Ignore always,Help and inform an adult,MCQ
BB423,43,Ethical Decisions,Your sibling needs help. What should you do?,Make fun of them,Hide their things,Refuse always,Help if you can,Help if you can,MCQ
BB424,43,Ethical Decisions,Your friend has a different opinion. What should you do?,Stop talking forever,Insult them,Respect their opinion,Fight with them,Respect their opinion,MCQ
BB425,43,Ethical Decisions,You see someone sitting alone during lunch. What should you do?,Invite them to join,Take their food,Laugh at them,Ignore them,Invite them to join,MCQ
BB426,43,Ethical Decisions,Your friend shares a success with you. What should you do?,Make a negative comment,Ignore them,Celebrate with them,Feel jealous,Celebrate with them,MCQ
BB427,43,Ethical Decisions,You accidentally break something at home. What should you do?,Blame someone else,Tell the truth,Hide it,Run away,Tell the truth,MCQ
BB428,43,Ethical Decisions,You see an elderly person carrying heavy bags. What should you do?,Ignore them,Take their bags without asking,Laugh at them,Offer help,Offer help,MCQ
BB429,43,Ethical Decisions,Your friend is learning something slowly. What should you do?,Make fun of them,Be patient and help,Give up on them,Stop talking,Be patient and help,MCQ
BB430,43,Ethical Decisions,You disagree with your teacher. What should you do?,Argue rudely,Ignore the teacher,Ask politely and explain your view,Shout,Ask politely and explain your view,MCQ
BB431,44,Ethical Decisions,You see someone cleaning the classroom. What should you do?,Ignore them,Disturb them,Make more mess,Help keep it clean,Help keep it clean,MCQ
BB432,44,Ethical Decisions,Your friend forgets their lunch. What should you do?,Share if possible,Laugh at them,Hide your food,Ignore them,Share if possible,MCQ
BB433,44,Ethical Decisions,Someone apologizes to you. What should you do?,Accept their apology,Insult them,Ignore forever,Keep fighting,Accept their apology,MCQ
BB434,44,Ethical Decisions,You see someone being kind to others. What should you do?,Appreciate kindness,Stop them,Ignore completely,Make fun of them,Appreciate kindness,MCQ
BB435,44,Ethical Decisions,You make a promise to your friend. What should you do?,Keep your promise,Lie about it,Break it intentionally,Forget it,Keep your promise,MCQ
BB436,44,Ethical Decisions,Your friend is having difficulty carrying books. What should you do?,Hide their books,Laugh at them,Walk away,Help carry some books,Help carry some books,MCQ
BB437,44,Ethical Decisions,You see someone being left out of a game. What should you do?,Make fun of them,Take the game away,Invite them to play,Ignore them,Invite them to play,MCQ
